,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,tuatapere,NZ,1590174303.0,-46.13,167.68,43.12,85.0,0.0,4.83
88,waingapu,ID,1590174303.0,-9.66,120.26,77.16,87.0,100.0,7.14
89,rabo de peixe,PT,1590174304.0,37.8,-25.58,64.4,82.0,40.0,10.29
90,hoi an,VN,1590174304.0,15.88,108.33,84.2,74.0,40.0,3.36
91,new norfolk,AU,1590174304.0,-42.78,147.06,37.0,89.0,2.0,2.66
92,chokurdakh,RU,1590174304.0,70.63,147.92,21.42,98.0,80.0,3.58
93,port elizabeth,ZA,1590174304.0,-33.92,25.57,60.8,93.0,30.0,10.29
94,avarua,CK,1590174304.0,-21.21,-159.78,78.8,74.0,100.0,13.87
95,neryungri,RU,1590174304.0,56.67,124.65,39.13,74.0,91.0,5.79
96,port macquarie,AU,1590174304.0,-31.43,152.92,50.0,85.0,0.0,10.11
97,esil,KZ,1590174304.0,51.96,66.4,61.39,71.0,69.0,7.81
98,longyearbyen,SJ,1590174140.0,78.22,15.64,33.8,69.0,20.0,2.24
99,touros,BR,1590174305.0,-5.2,-35.46,82.4,83.0,75.0,11.41
100,busselton,AU,1590174305.0,-33.65,115.33,51.01,53.0,100.0,10.83
101,bredasdorp,ZA,1590174305.0,-34.53,20.04,59.0,62.0,0.0,8.05
102,flinders,AU,1590174305.0,-34.58,150.86,57.0,74.0,55.0,8.99
103,khatanga,RU,1590174305.0,71.97,102.5,50.41,87.0,100.0,5.23
104,barrow,US,1590174305.0,71.29,-156.79,26.6,86.0,1.0,17.22
106,srednekolymsk,RU,1590174305.0,67.45,153.68,31.46,90.0,100.0,6.35
107,tasiilaq,GL,1590174305.0,65.61,-37.64,39.2,80.0,90.0,20.8
109,caravelas,BR,1590174306.0,-17.71,-39.25,78.53,74.0,0.0,5.82
110,muros,ES,1590174306.0,42.78,-9.06,66.99,79.0,86.0,8.01
111,north bend,US,1590174306.0,43.41,-124.22,62.01,66.0,90.0,8.05
112,williston,US,1590174306.0,48.15,-103.62,75.99,53.0,1.0,10.29
114,polovinnoye,RU,1590174306.0,54.79,65.99,55.17,73.0,100.0,7.09
115,tuktoyaktuk,CA,1590174186.0,69.45,-133.04,37.4,74.0,5.0,6.93
116,liezen,AT,1590174306.0,47.57,14.23,68.0,45.0,100.0,4.7
117,hermanus,ZA,1590174306.0,-34.42,19.23,63.0,70.0,5.0,13.62
118,bonavista,CA,1590174307.0,48.65,-53.11,43.0,75.0,86.0,10.0
119,timaru,NZ,1590174060.0,-44.4,171.25,48.99,97.0,100.0,6.55
120,hofn,IS,1590174307.0,64.25,-15.21,53.6,46.0,20.0,19.46
121,kochi,IN,1590174042.0,9.94,76.26,84.2,89.0,40.0,3.67
122,mahebourg,MU,1590174307.0,-20.41,57.7,73.4,69.0,40.0,13.87
123,belyy yar,RU,1590174307.0,53.6,91.39,57.2,76.0,85.0,6.71
124,moron,AR,1590174262.0,-34.65,-58.62,60.01,79.0,100.0,8.99
125,havre,FR,1590174307.0,49.58,0.33,57.99,82.0,90.0,9.17
126,torbay,CA,1590174307.0,47.67,-52.73,61.0,54.0,40.0,28.86
127,skelleftea,SE,1590174308.0,64.75,20.95,55.0,23.0,0.0,8.05
128,atherton,GB,1590174308.0,53.52,-2.49,60.01,54.0,54.0,11.01
129,petropavlovsk-kamchatskiy,RU,1590174308.0,53.05,158.65,37.4,76.0,72.0,4.47
130,vestmanna,FO,1590174308.0,62.16,-7.17,48.2,81.0,100.0,11.41
131,mehran,IR,1590174308.0,33.12,46.16,71.6,26.0,0.0,8.99
132,teeli,RU,1590174308.0,51.03,90.23,55.96,55.0,98.0,2.37
133,henties bay,NA,1590174308.0,-22.12,14.28,64.81,64.0,0.0,9.69
135,mikhaylovka,RU,1590174308.0,50.06,43.24,52.0,92.0,100.0,1.01
136,alenquer,BR,1590174308.0,-1.94,-54.74,80.6,94.0,75.0,5.82
137,abnub,EG,1590174308.0,27.27,31.15,89.6,35.0,0.0,14.99
139,kautokeino,NO,1590174309.0,69.01,23.04,34.92,95.0,100.0,6.76
140,darnah,LY,1590174028.0,32.77,22.64,67.77,79.0,96.0,18.9
141,kapaa,US,1590174309.0,22.08,-159.32,77.0,78.0,40.0,13.87
142,jurm,AF,1590174309.0,36.86,70.83,60.31,57.0,0.0,1.5
143,ponta do sol,PT,1590174309.0,32.67,-17.1,71.01,67.0,72.0,4.0
144,port hardy,CA,1590174041.0,50.7,-127.42,51.8,76.0,75.0,6.93
145,carnarvon,AU,1590174309.0,-24.87,113.63,65.07,28.0,0.0,13.85
146,palu,ID,1590174309.0,-0.89,119.87,76.75,80.0,100.0,2.35
147,hilo,US,1590174310.0,19.73,-155.09,73.4,83.0,90.0,5.82
149,cidreira,BR,1590174310.0,-30.18,-50.21,68.0,93.0,100.0,5.7
150,lagoa,PT,1590174310.0,39.05,-27.98,58.68,77.0,100.0,9.91
151,dingle,PH,1590174310.0,11.0,122.67,79.14,86.0,100.0,1.77
152,ilulissat,GL,1590174310.0,69.22,-51.1,44.6,52.0,40.0,5.82
153,lima,PE,1590174093.0,-12.04,-77.03,66.2,72.0,90.0,10.29
154,hadejia,NG,1590174310.0,12.45,10.04,97.68,22.0,91.0,4.43
155,kathu,TH,1590174311.0,7.92,98.33,80.6,88.0,75.0,11.41
156,koslan,RU,1590174311.0,63.46,48.9,40.15,90.0,100.0,10.47
157,kupang,ID,1590174311.0,-10.17,123.58,78.22,80.0,100.0,13.94
158,puerto ayora,EC,1590174311.0,-0.74,-90.35,82.4,65.0,20.0,19.46
160,te anau,NZ,1590174311.0,-45.42,167.72,42.49,83.0,100.0,1.16
161,bose,IT,1590174311.0,45.46,8.01,72.0,74.0,98.0,1.25
162,qaanaaq,GL,1590174311.0,77.48,-69.36,34.32,84.0,0.0,3.04
164,faanui,PF,1590174312.0,-16.48,-151.75,79.84,78.0,0.0,24.54
165,saint john,CA,1590174066.0,45.27,-66.07,82.4,24.0,75.0,17.22
166,syracuse,IT,1590174312.0,37.09,15.28,68.0,72.0,0.0,10.29
167,killybegs,IE,1590174312.0,54.63,-8.45,53.6,66.0,40.0,31.09
168,dumabato,PH,1590174312.0,16.32,121.7,75.45,88.0,100.0,1.99
169,manuk mangkaw,PH,1590174312.0,4.8,119.85,81.41,84.0,100.0,17.43
170,muzhi,RU,1590174312.0,65.37,64.67,50.77,80.0,100.0,10.27
171,chabahar,IR,1590174312.0,25.29,60.64,84.25,82.0,2.0,2.66
172,nichinan,JP,1590174312.0,31.6,131.37,64.85,89.0,100.0,8.57
173,alta floresta,BR,1590174312.0,-9.88,-56.09,91.4,52.0,40.0,4.7
174,coquimbo,CL,1590174313.0,-29.95,-71.34,62.6,51.0,13.0,13.87
175,kieta,PG,1590174313.0,-6.22,155.63,80.55,75.0,74.0,0.74
176,tucuma,BR,1590174313.0,-0.18,-50.05,81.43,87.0,100.0,6.64
177,jumla,NP,1590174313.0,29.27,82.18,56.97,62.0,24.0,1.97
178,nieuwpoort,BE,1590174313.0,51.12,2.77,61.0,48.0,100.0,19.46
179,bethel,US,1590174313.0,41.37,-73.41,78.01,53.0,90.0,11.41
180,dali,CN,1590174313.0,25.7,100.18,60.85,84.0,100.0,1.88
181,alofi,NU,1590174313.0,-19.06,-169.92,77.0,94.0,90.0,4.7
182,maldonado,UY,1590174162.0,-34.67,-54.92,62.01,77.0,90.0,23.04
183,shintomi,JP,1590174314.0,32.08,131.47,63.79,89.0,100.0,7.45
184,puerto del rosario,ES,1590174314.0,28.5,-13.86,71.6,78.0,20.0,17.22
185,tual,ID,1590174314.0,-5.67,132.75,81.64,86.0,100.0,14.74
186,port keats,AU,1590174314.0,-14.25,129.55,61.3,67.0,100.0,13.18
187,arlit,NE,1590174314.0,18.74,7.39,93.22,9.0,0.0,12.77
188,parry sound,CA,1590174292.0,45.35,-80.03,81.0,29.0,0.0,5.97
189,batalha,BR,1590174314.0,-9.68,-37.12,81.97,75.0,1.0,12.75
190,comodoro rivadavia,AR,1590174015.0,-45.87,-67.5,57.2,35.0,96.0,13.87
191,manzanillo,CU,1590174314.0,20.34,-77.12,83.68,72.0,98.0,3.0
192,half moon bay,US,1590174054.0,37.46,-122.43,68.0,51.0,40.0,9.17
193,nanortalik,GL,1590174315.0,60.14,-45.24,42.76,63.0,100.0,18.43
194,mujiayingzi,CN,1590174315.0,42.12,118.78,51.76,82.0,92.0,3.67
195,axim,GH,1590174315.0,4.87,-2.24,80.78,80.0,69.0,10.49
196,xining,CN,1590174315.0,36.62,101.77,51.15,71.0,66.0,1.9
197,tromso,NO,1590174299.0,69.65,18.96,46.4,49.0,95.0,18.34
198,petropavlivka,UA,1590174315.0,48.46,36.44,45.23,80.0,35.0,7.47
199,codo,BR,1590174016.0,-4.46,-43.89,83.08,87.0,47.0,3.15
200,bulgan,MN,1590174315.0,48.81,103.53,43.21,65.0,15.0,5.14
201,neepawa,CA,1590174315.0,50.23,-99.47,77.0,36.0,75.0,13.87
203,nova floresta,BR,1590174316.0,-6.46,-36.2,78.17,73.0,0.0,13.35
205,tiksi,RU,1590174316.0,71.69,128.87,30.74,95.0,36.0,7.49
206,mumford,GH,1590174316.0,5.26,-0.76,80.69,82.0,2.0,11.27
207,aklavik,CA,1590174316.0,68.22,-135.01,53.6,32.0,5.0,5.82
208,sokolskoye,RU,1590174316.0,57.14,43.16,42.22,92.0,100.0,8.9
209,nome,US,1590174042.0,64.5,-165.41,48.2,70.0,90.0,14.99
210,odweyne,SO,1590174316.0,9.41,45.06,79.97,52.0,34.0,13.96
211,menongue,AO,1590174316.0,-14.66,17.69,58.78,54.0,0.0,4.52
212,vestmannaeyjar,IS,1590174317.0,63.44,-20.27,48.2,81.0,40.0,13.87
213,sarangarh,IN,1590174317.0,21.6,83.08,86.79,14.0,0.0,0.92
214,ashland,US,1590174317.0,40.82,-82.27,66.2,77.0,90.0,4.7
215,bambous virieux,MU,1590174317.0,-20.34,57.76,73.99,69.0,40.0,13.87
216,kununurra,AU,1590174317.0,-15.77,128.73,60.8,72.0,90.0,9.17
217,goderich,CA,1590174317.0,43.75,-81.72,77.0,83.0,88.0,1.01
218,butaritari,KI,1590174317.0,3.07,172.79,83.03,80.0,30.0,14.94
219,atakpame,TG,1590174317.0,7.53,1.13,76.55,91.0,100.0,4.29
220,goiatuba,BR,1590174026.0,-18.01,-49.35,78.96,65.0,21.0,7.05
222,dandong,CN,1590174318.0,40.13,124.39,55.2,93.0,100.0,9.17
223,moba,CN,1590174318.0,33.23,105.02,52.38,82.0,7.0,3.69
224,vila franca do campo,PT,1590174085.0,37.72,-25.43,64.4,82.0,40.0,10.29
225,nioaque,BR,1590174318.0,-21.14,-55.83,71.08,92.0,96.0,12.77
226,georgetown,MY,1590174070.0,5.41,100.34,80.6,88.0,20.0,6.93
228,nokaneng,BW,1590174318.0,-19.67,22.27,61.59,39.0,0.0,6.73
229,sitka,US,1590174318.0,57.05,-135.33,48.2,76.0,75.0,6.93
230,chirongui,YT,1590174318.0,-12.93,45.15,78.8,74.0,0.0,10.29
231,upernavik,GL,1590174319.0,72.79,-56.15,31.33,96.0,0.0,9.75
232,rock sound,BS,1590174319.0,24.9,-76.2,79.25,80.0,26.0,16.13
233,praia da vitoria,PT,1590174319.0,38.73,-27.07,62.6,77.0,40.0,8.86
234,egvekinot,RU,1590174319.0,66.32,-179.17,25.79,96.0,61.0,14.54
236,margate,GB,1590174029.0,51.38,1.39,62.01,59.0,100.0,5.01
237,panguna,PG,1590174319.0,-6.32,155.48,70.05,96.0,91.0,1.68
238,nhulunbuy,AU,1590174319.0,-12.23,136.77,78.8,74.0,90.0,14.99
239,ippy,CF,1590174320.0,6.27,21.22,73.78,80.0,88.0,2.33
240,severo-kurilsk,RU,1590174320.0,50.68,156.12,38.28,77.0,9.0,11.16
241,rondonopolis,BR,1590174208.0,-16.47,-54.64,90.28,46.0,24.0,8.34
242,shizunai,JP,1590174320.0,42.33,142.37,47.3,82.0,100.0,11.23
243,pitimbu,BR,1590174320.0,-7.47,-34.81,84.2,74.0,75.0,12.75
246,provideniya,RU,1590174320.0,64.38,-173.3,37.35,84.0,80.0,10.13
247,visby,SE,1590174320.0,57.64,18.3,51.8,57.0,10.0,2.24
248,svetlyy,RU,1590174320.0,54.67,20.13,48.2,76.0,0.0,4.47
249,wewak,PG,1590174321.0,-3.55,143.63,80.49,80.0,100.0,2.71
250,hutchinson,US,1590174321.0,38.06,-97.93,75.99,56.0,75.0,8.05
251,codrington,AU,1590174321.0,-38.27,141.97,53.89,91.0,100.0,9.35
252,ancud,CL,1590174321.0,-41.87,-73.82,57.99,81.0,100.0,10.29
253,tadine,NC,1590174321.0,-21.55,167.88,68.95,70.0,81.0,6.35
254,san cristobal,VE,1590174321.0,7.77,-72.22,84.2,62.0,75.0,18.34
255,grindavik,IS,1590174321.0,63.84,-22.43,55.4,58.0,75.0,11.41
256,marawi,PH,1590174321.0,8.0,124.29,75.99,95.0,93.0,3.0
257,pacific grove,US,1590174321.0,36.62,-121.92,62.6,55.0,75.0,13.87
258,smidovich,RU,1590174322.0,48.6,133.82,50.05,68.0,63.0,6.49
259,vaitape,PF,1590174322.0,-16.52,-151.75,80.69,76.0,0.0,24.61
260,verkh-suetka,RU,1590174322.0,53.3,80.05,56.34,48.0,0.0,5.86
262,cordeiro,BR,1590174322.0,-22.03,-42.36,71.06,80.0,55.0,1.99
263,sarkand,KZ,1590174322.0,45.41,79.92,60.37,44.0,12.0,5.61
264,luebo,CD,1590174322.0,-5.35,21.42,75.78,69.0,18.0,1.79
265,zeya,RU,1590174322.0,53.75,127.27,43.75,60.0,100.0,1.43
266,los llanos de aridane,ES,1590174254.0,28.66,-17.92,71.6,64.0,20.0,17.22
267,cockburn town,TC,1590174323.0,21.46,-71.14,80.65,81.0,100.0,11.86
268,awjilah,LY,1590174323.0,29.11,21.29,77.07,40.0,100.0,14.27
269,bihac,BA,1590174323.0,44.82,15.87,58.78,72.0,76.0,3.2
270,tabou,CI,1590174323.0,4.42,-7.35,80.46,81.0,76.0,8.99
271,lorengau,PG,1590174323.0,-2.02,147.27,81.82,76.0,31.0,2.75
