,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,acapulco,MX,1601993279.0,16.86,-99.89,77.0,88.0,75.0,4.29
88,yar-sale,RU,1601993566.0,66.83,70.83,34.61,86.0,100.0,16.2
89,khatanga,RU,1601993566.0,71.97,102.5,11.95,97.0,3.0,1.05
90,qui nhon,VN,1601993567.0,13.77,109.23,79.59,87.0,100.0,11.03
92,felipe carrillo puerto,MX,1601993567.0,19.58,-88.05,76.78,93.0,95.0,4.47
94,new norfolk,AU,1601993567.0,-42.78,147.06,44.01,84.0,0.0,2.46
95,grindavik,IS,1601993567.0,63.84,-22.43,42.8,87.0,90.0,10.29
96,wanning,CN,1601993567.0,18.8,110.4,80.13,86.0,79.0,16.93
97,plettenberg bay,ZA,1601993283.0,-34.05,23.37,65.66,71.0,22.0,4.18
98,qaanaaq,GL,1601993568.0,77.48,-69.36,15.94,82.0,7.0,9.01
99,koroni,GR,1601993568.0,36.8,21.95,91.0,33.0,20.0,6.93
100,bredasdorp,ZA,1601993568.0,-34.53,20.04,68.0,60.0,0.0,10.29
101,baghdad,IQ,1601993568.0,33.34,44.4,95.0,14.0,0.0,10.29
102,sechura,PE,1601993568.0,-5.56,-80.82,68.76,63.0,64.0,8.81
104,ahipara,NZ,1601993569.0,-35.17,173.17,52.84,90.0,2.0,5.86
105,rundu,NA,1601993569.0,-17.93,19.77,101.17,10.0,59.0,6.78
106,cherskiy,RU,1601993569.0,68.75,161.3,26.94,88.0,9.0,3.02
107,amapa,BR,1601993569.0,1.0,-52.0,93.31,42.0,0.0,5.21
108,yenagoa,NG,1601993569.0,4.92,6.26,80.22,83.0,100.0,5.26
109,castro,BR,1601993349.0,-24.79,-50.01,89.82,25.0,0.0,6.62
110,biak,ID,1601993569.0,-0.91,122.88,77.27,74.0,86.0,5.7
111,cape town,ZA,1601993404.0,-33.93,18.42,71.01,64.0,0.0,20.8
112,storforshei,NO,1601993570.0,66.4,14.52,59.0,58.0,40.0,8.05
113,erenhot,CN,1601993570.0,43.65,111.98,49.73,42.0,36.0,8.03
114,obzor,BG,1601993570.0,42.82,27.88,86.0,45.0,60.0,10.29
115,ambilobe,MG,1601993570.0,-13.2,49.05,79.61,76.0,27.0,6.06
116,rio grande,BR,1601993570.0,-32.03,-52.1,60.01,83.0,92.0,4.0
117,severo-kurilsk,RU,1601993570.0,50.68,156.12,48.36,89.0,44.0,17.38
119,esna,EG,1601993571.0,25.29,32.55,100.4,24.0,0.0,4.7
120,turukhansk,RU,1601993571.0,65.82,87.98,29.12,98.0,100.0,5.35
121,deloraine,AU,1601993571.0,-41.53,146.67,43.0,86.0,46.0,5.82
122,longyearbyen,SJ,1601993571.0,78.22,15.64,39.2,80.0,20.0,5.82
123,champerico,GT,1601993571.0,14.3,-91.92,75.2,88.0,40.0,4.7
124,tiksi,RU,1601993571.0,71.69,128.87,27.73,94.0,0.0,17.69
125,seeboden,AT,1601993571.0,46.82,13.49,57.2,67.0,75.0,4.7
126,saint-philippe,RE,1601993572.0,-21.36,55.77,73.4,73.0,90.0,3.36
127,azanka,RU,1601993572.0,58.04,64.79,40.66,95.0,100.0,5.03
128,fairbanks,US,1601993437.0,64.84,-147.72,33.01,92.0,1.0,1.48
129,torbay,CA,1601993572.0,47.67,-52.73,51.01,57.0,5.0,10.29
130,provideniya,RU,1601993572.0,64.38,-173.3,34.56,88.0,100.0,2.91
131,bogovarovo,RU,1601993572.0,58.98,47.02,49.75,96.0,100.0,3.2
134,bengkulu,ID,1601993443.0,-3.8,102.27,78.57,83.0,91.0,5.44
